Time,asks,bids
2016-04-07 00:00:00 UTC,3778982.51,4111577.857
2016-04-08 00:00:00 UTC,3461949.118,4050133.398
2016-04-09 00:00:00 UTC,3386868.409,4098605.9
2016-04-10 00:00:00 UTC,3531098.953,4241253.43
2016-04-11 00:00:00 UTC,3472355.242,4162113.005
2016-04-12 00:00:00 UTC,3385387.128,4202073.547
2016-04-13 00:00:00 UTC,4597694.535,4384617.847
2016-04-14 00:00:00 UTC,4118465.664,4219837.93
2016-04-15 00:00:00 UTC,3975781.608,4493561.068
2016-04-16 00:00:00 UTC,4249979.978,4719592.338
2016-04-17 00:00:00 UTC,3827100.82,4422859.18
2016-04-18 00:00:00 UTC,3662350.856,4583872.489
2016-04-19 00:00:00 UTC,3535704.051,5124334.305
2016-04-20 00:00:00 UTC,2692275.398,5579103.957
2016-04-21 00:00:00 UTC,2359319.805,4822105.57
2016-04-22 00:00:00 UTC,3138223.523,4016355.564
2016-04-23 00:00:00 UTC,3349009.07,4455610.111
2016-04-24 00:00:00 UTC,3285446.343,4360461.148
2016-04-25 00:00:00 UTC,3379210.151,3933227.878
2016-04-26 00:00:00 UTC,3250804.249,3980500.911
2016-04-27 00:00:00 UTC,3299982.567,3875866.929
2016-04-28 00:00:00 UTC,3048460.462,4804048.349
2016-04-29 00:00:00 UTC,3341870.694,5449935.305
2016-04-30 00:00:00 UTC,4001030.052,4912173.337
2016-05-01 00:00:00 UTC,4201347.729,4288069.34
2016-05-02 00:00:00 UTC,4262917.98,4106077.068
2016-05-03 00:00:00 UTC,4421763.231,4270829.649
2016-05-04 00:00:00 UTC,4766731.06,3941270.063
2016-05-05 00:00:00 UTC,4948792.489,4027084.468
2016-05-06 00:00:00 UTC,8396236.453,3879976.872
2016-05-07 00:00:00 UTC,4225112.374,4824750.07
2016-05-08 00:00:00 UTC,4538104.526,4794651
2016-05-09 00:00:00 UTC,4595813.744,4507106.973
2016-05-10 00:00:00 UTC,4507908.471,3721587.537
2016-05-11 00:00:00 UTC,4917155.169,3664344.284
2016-05-12 00:00:00 UTC,4565259.606,3337587.596
2016-05-13 00:00:00 UTC,3669178.451,4412919.651
2016-05-14 00:00:00 UTC,3818987.749,4304080.904
2016-05-15 00:00:00 UTC,4113516.63,4232058.642
2016-05-16 00:00:00 UTC,4281836.18,4158549.167
2016-05-17 00:00:00 UTC,3837170.266,3843116.509
2016-05-18 00:00:00 UTC,3939729.631,4236013.981
2016-05-19 00:00:00 UTC,3470247.708,4196204.459
2016-05-20 00:00:00 UTC,4105575.899,3763649.237
2016-05-21 00:00:00 UTC,4448312.54,2976764.871
2016-05-22 00:00:00 UTC,4209138.897,3214089.577
2016-05-23 00:00:00 UTC,3956719.187,3690294.851
2016-05-24 00:00:00 UTC,4180799.273,3567785.975
2016-05-25 00:00:00 UTC,4084468.694,2816928.53
2016-05-26 00:00:00 UTC,4359785.86,2783378.398
2016-05-27 00:00:00 UTC,3008868.556,2867303.664
2016-05-28 00:00:00 UTC,2355228.06,3331231.635
2016-05-29 00:00:00 UTC,3760997.576,3606178.334
2016-05-30 00:00:00 UTC,5266786.116,4586129.517
2016-05-31 00:00:00 UTC,5745157.462,5582981.953
2016-06-01 00:00:00 UTC,5559978.104,5651634.87
2016-06-02 00:00:00 UTC,5927038.459,5661249.773
2016-06-03 00:00:00 UTC,6710758.172,5318636.382
2016-06-04 00:00:00 UTC,7017764.115,4147379.907
2016-06-05 00:00:00 UTC,7280544.695,4644714.073
2016-06-06 00:00:00 UTC,8238306.884,4433611.021
2016-06-07 00:00:00 UTC,8214208.687,4416943.045
2016-06-08 00:00:00 UTC,7548078.9,5746247.221
2016-06-09 00:00:00 UTC,7405931.13,6637620.015
2016-06-10 00:00:00 UTC,7057306.411,7215579.387
2016-06-11 00:00:00 UTC,7407674.951,7353448.711
2016-06-12 00:00:00 UTC,6541986.018,4705821.797
2016-06-13 00:00:00 UTC,4273270.526,4829464.84
2016-06-14 00:00:00 UTC,4557999.302,5666729.166
2016-06-15 00:00:00 UTC,5170603.762,9072623.863
2016-06-16 00:00:00 UTC,8005735.069,4989055.955
2016-06-17 00:00:00 UTC,7640419.368,5080097.119
2016-06-18 00:00:00 UTC,8382885.049,4574771.007
2016-06-19 00:00:00 UTC,8372760.165,3666110.019
2016-06-20 00:00:00 UTC,7620508.802,3370416.617
2016-06-21 00:00:00 UTC,3178576.301,3690441.998
2016-06-22 00:00:00 UTC,3024552.639,4194049.135
2016-06-23 00:00:00 UTC,3065999.102,2356693.786
2016-06-24 00:00:00 UTC,3531653.929,2617374.144
2016-06-25 00:00:00 UTC,4610508.799,2830554.046
2016-06-26 00:00:00 UTC,3469761.692,3022620.303
2016-06-27 00:00:00 UTC,6341594.12,4002465.38
2016-06-28 00:00:00 UTC,9874785.539,5095675.974
2016-06-29 00:00:00 UTC,8800727.201,4443626.785
2016-06-30 00:00:00 UTC,7988881.804,4972641.803
2016-07-01 00:00:00 UTC,6759650.296,3481419.931
2016-07-02 00:00:00 UTC,9681627.1,4293810.568
2016-07-03 00:00:00 UTC,7734932.819,3799760.493
2016-07-04 00:00:00 UTC,7349637.337,3367636.632
2016-07-05 00:00:00 UTC,6407071.381,3470801.274
2016-07-06 00:00:00 UTC,6257796.365,3349071.755
2016-07-07 00:00:00 UTC,3995152.181,4547107.297
2016-07-08 00:00:00 UTC,5442165.998,4485958.191
2016-07-09 00:00:00 UTC,4122908.17,4694084.807
2016-07-10 00:00:00 UTC,3952996.765,5615404.291
2016-07-11 00:00:00 UTC,4229308.726,6406942.222
2016-07-12 00:00:00 UTC,5590276.46,8175554.839
2016-07-13 00:00:00 UTC,6574156.881,8256005.7
2016-07-14 00:00:00 UTC,6779492.321,7919477.084
2016-07-15 00:00:00 UTC,7640893.349,7598606.191
2016-07-16 00:00:00 UTC,7609512.824,8212904.42
2016-07-17 00:00:00 UTC,6536431.895,5885280.66
2016-07-18 00:00:00 UTC,7309581.124,5084047.201
2016-07-19 00:00:00 UTC,6506041.684,5145459.955
2016-07-20 00:00:00 UTC,6157422.472,5047093.612
2016-07-21 00:00:00 UTC,5707085.956,5503806.06
2016-07-22 00:00:00 UTC,5405449.315,5676238.11
2016-07-23 00:00:00 UTC,6295721.112,6128061.357
2016-07-24 00:00:00 UTC,7171194.732,5973179.276
2016-07-25 00:00:00 UTC,7116635.426,5763284.021
2016-07-26 00:00:00 UTC,6706748.445,6765949.188
2016-07-27 00:00:00 UTC,6621181.403,6917487.776
2016-07-28 00:00:00 UTC,6734204.342,6975163.223
2016-07-29 00:00:00 UTC,6654087.206,6653749.981
2016-07-30 00:00:00 UTC,6492489.399,7292752.181
2016-07-31 00:00:00 UTC,4790021.016,8534813.204
2016-08-01 00:00:00 UTC,4371299.559,8042564.95
2016-08-02 00:00:00 UTC,3482817.603,7206882.977
2016-08-09 00:00:00 UTC,0,0
2016-08-10 00:00:00 UTC,1112346.333,490730.4461
2016-08-11 00:00:00 UTC,2012400.993,714832.4529
2016-08-12 00:00:00 UTC,2550472.494,767193.85
2016-08-13 00:00:00 UTC,2927568.354,1604828.595
2016-08-14 00:00:00 UTC,3287622.747,1708467.982
2016-08-15 00:00:00 UTC,2598869.37,1946410.889
2016-08-16 00:00:00 UTC,1601359.648,1965742.263
2016-08-17 00:00:00 UTC,1059628.753,2171388.829
2016-08-18 00:00:00 UTC,837811.1763,2358945.461
2016-08-19 00:00:00 UTC,899265.1208,2284389.656
2016-08-20 00:00:00 UTC,1022823.839,2365124.285
2016-08-21 00:00:00 UTC,1097770.081,2530266.756
2016-08-22 00:00:00 UTC,1537907.65,3119577.414
2016-08-23 00:00:00 UTC,1692004.849,3063882.08
2016-08-24 00:00:00 UTC,2284338.714,3164895.973
2016-08-25 00:00:00 UTC,1667844.939,2619534.7
2016-08-26 00:00:00 UTC,1738297.1,2707877.318
2016-08-27 00:00:00 UTC,2442635.625,2848473.805
2016-08-28 00:00:00 UTC,2114854.565,2796870.741
2016-08-29 00:00:00 UTC,2025534.006,2800327.663
2016-08-30 00:00:00 UTC,1664873.262,2695361.39
2016-08-31 00:00:00 UTC,1070738.832,2225179.45
2016-09-01 00:00:00 UTC,1103832.594,2232158.734
2016-09-02 00:00:00 UTC,1214463.259,2266935.748
2016-09-03 00:00:00 UTC,1180743.693,2261872.964
2016-09-04 00:00:00 UTC,959594.8399,2287032.243
2016-09-05 00:00:00 UTC,1241199.915,2418981.746
2016-09-06 00:00:00 UTC,1227552.422,2175784.006
2016-09-07 00:00:00 UTC,1299627.333,2048595.31
2016-09-08 00:00:00 UTC,1059743.273,1264187.799
2016-09-09 00:00:00 UTC,1215752.605,1482255.145
2016-09-10 00:00:00 UTC,1346681.224,1402768.163
2016-09-11 00:00:00 UTC,1407244.966,1533276.297
2016-09-12 00:00:00 UTC,849544.0784,2573793.212
2016-09-13 00:00:00 UTC,1067070.454,2214062.373
2016-09-14 00:00:00 UTC,1760015.321,2162246.423
2016-09-15 00:00:00 UTC,1750238.799,1954824.522
2016-09-16 00:00:00 UTC,1657970.081,2132598.031
2016-09-17 00:00:00 UTC,1725318.244,2426005.219
2016-09-18 00:00:00 UTC,1760787.94,2201467.727
2016-09-19 00:00:00 UTC,1871375.842,2323560.002
2016-09-20 00:00:00 UTC,1912213.672,2536607.727
2016-09-21 00:00:00 UTC,1809869.613,2410797.899
2016-09-22 00:00:00 UTC,1910654.458,2729570.096
2016-09-23 00:00:00 UTC,1846396.978,2867128.518
2016-09-24 00:00:00 UTC,2084419.462,3855023.785
2016-09-25 00:00:00 UTC,2965846.778,3986877.027
2016-09-26 00:00:00 UTC,2863483.542,4148580.999
2016-09-27 00:00:00 UTC,2360354.816,3621162.4
2016-09-28 00:00:00 UTC,3017519.531,4098339.665
2016-09-29 00:00:00 UTC,2555388.069,3755730.487
2016-09-30 00:00:00 UTC,1827636.213,3078649.241
2016-10-01 00:00:00 UTC,1789934.321,2637143.377
2016-10-02 00:00:00 UTC,2113406.274,2385166.721
2016-10-03 00:00:00 UTC,2149192.674,2400484.509
2016-10-04 00:00:00 UTC,2077537.169,2618912.769
2016-10-05 00:00:00 UTC,1975837.618,2783912.395
2016-10-06 00:00:00 UTC,1820174.712,2684443.223
2016-10-07 00:00:00 UTC,1842277.973,2373807.86
2016-10-08 00:00:00 UTC,1954280.136,2318275.245
2016-10-09 00:00:00 UTC,1902368.538,2427516.987
2016-10-10 00:00:00 UTC,2118230.772,2558003.654
2016-10-11 00:00:00 UTC,2061605.735,1505279.322
2016-10-12 00:00:00 UTC,1589248.922,2048182.088
2016-10-13 00:00:00 UTC,1639573.453,2581627.368
2016-10-14 00:00:00 UTC,1655957.691,2556339.196
2016-10-15 00:00:00 UTC,1744612.333,3193538.62
2016-10-16 00:00:00 UTC,1733181.47,3039439.306
2016-10-17 00:00:00 UTC,2016583.743,2827269.709
2016-10-18 00:00:00 UTC,2030241.943,2546484.271
2016-10-19 00:00:00 UTC,1844907.387,2764434.174
2016-10-20 00:00:00 UTC,1642658.645,2727213.613
2016-10-21 00:00:00 UTC,1331400.882,2696043.649
2016-10-22 00:00:00 UTC,1498412.194,2726919.423
2016-10-23 00:00:00 UTC,2756973.258,3203212.944
2016-10-24 00:00:00 UTC,3103422.963,3710154.832
2016-10-25 00:00:00 UTC,3135083.784,3573115.217
2016-10-26 00:00:00 UTC,2501510.311,4096149.008
2016-10-27 00:00:00 UTC,2077647.104,4936603.748
2016-10-28 00:00:00 UTC,2531521.216,5635235.873
2016-10-29 00:00:00 UTC,1604833.09,6502579.75
2016-10-30 00:00:00 UTC,1470814.746,6887613.698
2016-10-31 00:00:00 UTC,1638833.058,7210409.43
2016-11-01 00:00:00 UTC,1596884.084,7231330.343
2016-11-02 00:00:00 UTC,1658597.826,7394841.312
2016-11-03 00:00:00 UTC,1618176.562,6258747.936
2016-11-04 00:00:00 UTC,2362323.447,4935924.462
2016-11-05 00:00:00 UTC,2176032.046,4942552.582
2016-11-06 00:00:00 UTC,2115054.061,4951988.457
2016-11-07 00:00:00 UTC,2249944.234,5553619.382
2016-11-08 00:00:00 UTC,2517063.876,5487540.296
2016-11-09 00:00:00 UTC,1977075.727,4246200.166
2016-11-10 00:00:00 UTC,1833473.127,5380601.025
2016-11-11 00:00:00 UTC,1809473.725,5396489.148
2016-11-12 00:00:00 UTC,2787936.627,6151966.01
2016-11-13 00:00:00 UTC,3583401.846,6459007.533
2016-11-14 00:00:00 UTC,4800690.028,6237621.324
2016-11-15 00:00:00 UTC,3272795.089,5984077.396
2016-11-16 00:00:00 UTC,2680366.949,5168797.305
2016-11-17 00:00:00 UTC,4821867.621,3859413.346
2016-11-18 00:00:00 UTC,3431326.817,4131399.902
2016-11-19 00:00:00 UTC,3702554.866,4062652.616
2016-11-20 00:00:00 UTC,4352176.97,4595333.756
2016-11-21 00:00:00 UTC,4715139.948,4847865.752
2016-11-22 00:00:00 UTC,4192043.915,4356197.086
2016-11-23 00:00:00 UTC,4486138.32,4657599.801
2016-11-24 00:00:00 UTC,4788660.112,4980701.342
2016-11-25 00:00:00 UTC,4795000.415,5494961.803
2016-11-26 00:00:00 UTC,4728881.469,5435631.588
2016-11-27 00:00:00 UTC,4635026.85,5490228.913
2016-11-28 00:00:00 UTC,4885814.012,5425505.836
2016-11-29 00:00:00 UTC,4653494.437,5415016.271
2016-11-30 00:00:00 UTC,3990533.723,5098946.62
2016-12-01 00:00:00 UTC,4365895.444,4477108.911
2016-12-02 00:00:00 UTC,4199116.039,4059011.665
2016-12-03 00:00:00 UTC,4278004.351,4219035.455
2016-12-04 00:00:00 UTC,4496666.217,3756534.197
2016-12-05 00:00:00 UTC,5223303,3947698.2
2016-12-06 00:00:00 UTC,5711188.892,3994501.302
2016-12-07 00:00:00 UTC,3780051.53,2536571.656
2016-12-08 00:00:00 UTC,3076747.481,2485935.359
2016-12-09 00:00:00 UTC,2987604.219,2371066.635
2016-12-10 00:00:00 UTC,2990719.67,3374612.198
2016-12-11 00:00:00 UTC,3145220.313,3744777.898
2016-12-12 00:00:00 UTC,2966545.695,3425831.071
2016-12-13 00:00:00 UTC,3007135.065,2936112.49
2016-12-14 00:00:00 UTC,3248479.245,3207607.452
2016-12-15 00:00:00 UTC,3274542.657,3491929.965
2016-12-16 00:00:00 UTC,3200276.223,3241627.51
2016-12-17 00:00:00 UTC,2818523.888,2781657.803
2016-12-18 00:00:00 UTC,3354114.797,2697590.511
2016-12-19 00:00:00 UTC,3198736.657,2613719.07
2016-12-20 00:00:00 UTC,3562630.463,2416371.371
2016-12-21 00:00:00 UTC,2876835.715,2453570.751
2016-12-22 00:00:00 UTC,1976942.867,2587939.978
2016-12-23 00:00:00 UTC,2010167.347,1852107.391
2016-12-24 00:00:00 UTC,1956055.16,2291339.693
2016-12-25 00:00:00 UTC,1678195.771,3123443.343
2016-12-26 00:00:00 UTC,2190236.675,2594278.086
2016-12-27 00:00:00 UTC,2581932.233,2552937.556
2016-12-28 00:00:00 UTC,3290918.268,2589107.906
2016-12-29 00:00:00 UTC,7466137.35,3297922.867
2016-12-30 00:00:00 UTC,10088452.72,3404388.083
2016-12-31 00:00:00 UTC,6871973.646,3108286.914
2017-01-01 00:00:00 UTC,6529592.344,2237699.85
2017-01-02 00:00:00 UTC,4819783.269,1882047.15
2017-01-03 00:00:00 UTC,5899011.919,3087376.931
2017-01-04 00:00:00 UTC,2940539.036,2794335.424
2017-01-05 00:00:00 UTC,3272857.814,1988873.29
2017-01-06 00:00:00 UTC,3238452.687,3020012.614
2017-01-07 00:00:00 UTC,1805998.01,3815123.137
2017-01-08 00:00:00 UTC,3041794.743,2361685.229
2017-01-09 00:00:00 UTC,2652576.526,3017017.696
2017-01-10 00:00:00 UTC,2803781.86,2866463.492
2017-01-11 00:00:00 UTC,2044720.576,4337615.09
2017-01-12 00:00:00 UTC,2438671.824,3597478.107
2017-01-13 00:00:00 UTC,2853004.94,2624510.049
2017-01-14 00:00:00 UTC,3602216.375,2453113.218
2017-01-15 00:00:00 UTC,3407045.999,2564009.772
