Time,1Hash,AntPool,BTC.TOP,BTC.com,BTCC Pool,BW.COM,BitClub Network,BitFury,Bitcoin.com,F2Pool,GBMiners,SlushPool,Unknown,ViaBTC,others
2017-05-03 00:00:00 UTC,1.2908160451111477e+17,4.388774553377902e+17,2.8397952992445248e+17,2.065305672177836e+17,4.646937762400131e+17,2.5816320902222954e+17,7.744896270666886e+16,2.5816320902222954e+17,1.032652836088918e+17,3.8724481353334426e+17,2.581632090222295e+16,1.8071424631556067e+17,1.8071424631556067e+17,2.5816320902222954e+17,1.548979254133377e+17
2017-05-04 00:00:00 UTC,1.8151481025951872e+17,7.260592410380749e+17,5.704751179584875e+17,3.3709893333910624e+17,2.8523755897924374e+17,1.8151481025951872e+17,2.0744549743945e+17,3.3709893333910624e+17,1.2965343589965624e+17,5.1861374359862496e+17,2.593068717993125e+16,2.0744549743945e+17,4.6675236923876243e+17,7.779206153979374e+16,1.03722748719725e+17
2017-05-05 00:00:00 UTC,5.175004018439411e+16,5.1750040184394106e+17,3.622502812907588e+17,1.811251406453794e+17,3.8812530138295584e+17,1.811251406453794e+17,1.0350008036878822e+17,3.8812530138295584e+17,1.0350008036878822e+17,3.105002411063647e+17,7.762506027659117e+16,1.0350008036878822e+17,1.811251406453794e+17,3.105002411063647e+17,7.762506027659117e+16
2017-05-06 00:00:00 UTC,1.3131199866619046e+17,6.828223930641905e+17,3.414111965320952e+17,3.1514879679885715e+17,4.201983957318095e+17,2.888863970656191e+17,2.6262399733238093e+17,3.414111965320952e+17,1.5757439839942858e+17,4.9898559493152384e+17,5.2524799466476184e+16,1.8383679813266666e+17,4.464607954650476e+17,2.3636159759914285e+17,5.2524799466476184e+16
2017-05-07 00:00:00 UTC,1.2852658350884821e+17,6.42632917544241e+17,3.341691171230054e+17,1.0282126680707858e+17,4.626957006318536e+17,1.0282126680707858e+17,2.0564253361415715e+17,3.59874433824775e+17,1.2852658350884821e+17,4.626957006318536e+17,2.5705316701769644e+16,2.8275848371946608e+17,5.6551696743893216e+17,3.341691171230054e+17,1.5423190021061786e+17
2017-05-08 00:00:00 UTC,2.356796605278905e+17,1.1783983026394524e+18,2.6186628947543386e+17,2.094930315803471e+17,4.451726921082376e+17,1.3093314473771693e+17,1.0474651579017355e+17,3.927994342131508e+17,2.6186628947543388e+16,3.1423954737052064e+17,7.855988684263016e+16,2.8805291842297725e+17,5.761058368459545e+17,3.666128052656074e+17,1.0474651579017355e+17
2017-05-09 00:00:00 UTC,1.0327479774864464e+17,8.00379682551996e+17,5.1637398874322323e+17,3.356430926830951e+17,1.0327479774864464e+17,2.5818699437161162e+17,7.745609831148349e+16,1.8073089606012813e+17,1.0327479774864464e+17,2.8400569380877277e+17,7.745609831148349e+16,1.2909349718580581e+17,5.1637398874322323e+17,3.872804915574174e+17,1.2909349718580581e+17
2017-05-10 00:00:00 UTC,1.6692304395244662e+17,7.511536977860099e+17,4.173076098811166e+17,1.6692304395244662e+17,2.7820507325407773e+17,3.060255805794855e+17,1.947435512778544e+17,3.894871025557088e+17,8.346152197622331e+16,3.060255805794855e+17,,1.1128202930163109e+17,4.7294862453193216e+17,3.6166659523030106e+17,1.1128202930163109e+17
2017-05-11 00:00:00 UTC,2.7497046528686224e+16,7.149232097458418e+17,3.849586514016071e+17,1.9247932570080355e+17,1.099881861147449e+17,2.199763722294898e+17,1.6498227917211734e+17,3.849586514016071e+17,8.249113958605867e+16,2.199763722294898e+17,,3.299645583442347e+17,5.774379771024108e+17,1.9247932570080355e+17,1.099881861147449e+17
2017-05-12 00:00:00 UTC,8.381740683341707e+16,5.867218478339195e+17,3.6320876294480736e+17,2.2351308488911222e+17,3.6320876294480736e+17,2.2351308488911222e+17,1.1175654244455611e+17,4.4702616977822445e+17,1.3969567805569512e+17,5.0290444100050246e+17,5.5878271222278056e+16,1.1175654244455611e+17,6.984783902784756e+17,2.5145222050025123e+17,1.3969567805569514e+17
2017-05-13 00:00:00 UTC,1.368577891402956e+17,7.664036191856553e+17,4.379449252489459e+17,1.6422934696835472e+17,2.463440204525321e+17,1.6422934696835472e+17,1.368577891402956e+17,5.2005959873312326e+17,1.6422934696835472e+17,5.474311565611824e+17,,4.1057336742088685e+17,4.379449252489459e+17,1.9160090479641382e+17,2.737155782805912e+16
2017-05-14 00:00:00 UTC,2.8285134150443658e+17,6.505580854602042e+17,5.6570268300887315e+17,2.5456620735399293e+17,3.3942160980532384e+17,3.1113647565488026e+17,2.8285134150443658e+17,3.3942160980532384e+17,1.6971080490266192e+17,5.6570268300887315e+17,,1.6971080490266192e+17,4.8084728055754214e+17,1.1314053660177464e+17,1.1314053660177462e+17
